Unsorted,Run Time,Comparisons,Swaps
,19.975021,1254568514,28910964
,19.959836,1254568514,28910964
,19.958974,1254568514,28910964
,19.955226,1254568514,28910964
,19.957326,1254568514,28910964
,19.955259,1254568514,28910964
,19.955124,1254568514,28910964
,19.954275,1254568514,28910964
,19.965437,1254568514,28910964
,19.952288,1254568514,28910964
Average,19.9588756561,1254568704,28910964

Sorted,0.000252,99998,0
,21.5,99998,0
,21.5,99998,0
,21.3,99998,0
,21.7,99998,0
,21.5,99998,0
,20.3,99998,0
,21.1,99998,0
,21.4,99998,0
,21.4,99998,0
Average,21.6899992665,99998,0
