Unsorted,Run Time,Comparisons,Swaps
,0.00276,119660,5922
,0.0027,119660,5922
,0.00268,119660,5922
,0.00265,119660,5922
,0.00266,119660,5922
,0.00269,119660,5922
,0.00281,119660,5922
,0.00265,119660,5922
,0.00265,119660,5922
,0.0027,119660,5922
Average,0.00269499985734,119660,5922

Sorted,0.001095,498503,1000
,0.001074,498503,1000
,0.0011,498503,1000
,0.001082,498503,1000
,0.001079,498503,1000
,0.001062,498503,1000
,0.001074,498503,1000
,0.001071,498503,1000
,0.001119,498503,1000
,0.001187,498503,1000
Average,0.00109429995064,498503,1000
