Unsorted,Run Time,Comparisons,Swaps
,0.101969,49995000,236
,0.101437,49995000,236
,0.105031,49995000,236
,0.102034,49995000,236
,0.10155,49995000,236
,0.101452,49995000,236
,0.10149,49995000,236
,0.102813,49995000,236
,0.101791,49995000,236
,0.101608,49995000,236
Average,0.102117501199,49995004,236

Sorted,0.103533,49995000,0
,0.101812,49995000,0
,0.101569,49995000,0
,0.101992,49995000,0
,0.101468,49995000,0
,0.102036,49995000,0
,0.101695,49995000,0
,0.101551,49995000,0
,0.101666,49995000,0
,0.101439,49995000,0
Average,0.101876102388,49995004,0
